role_code,role_name,former_class_code,former_class_title,former_grade
19031,Financial Services Specialist I,24282,Unemployment Tax Representative,11
19031,Financial Services Specialist I,22071,Grants Specialist,9
19031,Financial Services Specialist I,22072,Grants Administrator,10
19031,Financial Services Specialist I,22111,Mental Hospital Reimbursement Senior Representative,9
19031,Financial Services Specialist I,22114,Mental Hospital Reimbursement Supervisor B,11
19031,Financial Services Specialist I,22113,Mental Hospital Reimbursement Supervisor A,10
19031,Financial Services Specialist I,23011,Tax Collections Representative,9
19031,Financial Services Specialist I,23012,Tax Collections Senior Representative,10
19031,Financial Services Specialist I,23023,Tax Examiner Senior,9
19031,Financial Services Specialist I,23193,Tax Customer Service Representative,9
19031,Financial Services Specialist I,23194,Tax Customer Service Lead Representative,10
19031,Financial Services Specialist I,23195,Tax Customer Service Principal Representative,11
19031,Financial Services Specialist I,23211,State Tax Supervisor,10
19031,Financial Services Specialist I,23222,State Tax Field Representative,9
19031,Financial Services Specialist I,23223,State Tax Field Representative Senior,10
19031,Financial Services Specialist I,23414,Accountant,9
19031,Financial Services Specialist I,23415,Accountant Senior,11
19031,Financial Services Specialist I,23431,Budget Analyst,10
19031,Financial Services Specialist I,22053,Hospital Accounts Collection Assistant Manager,9
19031,Financial Services Specialist I,22054,Hospital Accounts Collection Manager,11
19032,Financial Services Specialist II,23113,Cash and Bank Services Analyst,14
19032,Financial Services Specialist II,23132,State Senior Accounting/Financial Analyst,12
19032,Financial Services Specialist II,23134,State Lead Financial Reporting Analyst,13
19032,Financial Services Specialist II,23135,State Lead Accounting Analyst,13
19032,Financial Services Specialist II,23141,State Accounting Systems Analyst,14
19032,Financial Services Specialist II,23432,Budget Analyst Senior,12
19032,Financial Services Specialist II,23503,Medicaid Reimbursement Analyst,13
19033,Financial Services Specialist III,22201,Health Care Reimbursement Specialist,15
19033,Financial Services Specialist III,23116,Cash Administrator,16
19033,Financial Services Specialist III,23122,State Debt Management Advisor,16
19034,Financial Services Manager I,22026,Grants Program Administrative Supervisor,12
19034,Financial Services Manager I,22027,Grants Program Administrative Manager,14
19034,Financial Services Manager I,23212,State Tax Supervisor Senior,12
19034,Financial Services Manager I,23213,State Tax Manager,14
19034,Financial Services Manager I,23224,State Tax Compliance Enforcement Supervisor,12
19034,Financial Services Manager I,23401,Fiscal Officer,12
19034,Financial Services Manager I,23402,Fiscal Director A,14
19034,Financial Services Manager I,23416,Accounting Manager A,12
19034,Financial Services Manager I,23417,Accounting Manager B,14
19034,Financial Services Manager I,23433,Budget Manager,14
19035,Financial Services Manager II,14161,Information Technology Accounting and Billing Manager,17
19035,Financial Services Manager II,22028,Grants Program Administrative Director,15
19035,Financial Services Manager II,23114,Treasury Finance Director,17
19035,Financial Services Manager II,23133,Accounts Department Assistant Fiscal Manager,15
19035,Financial Services Manager II,23225,State Tax District Administrator,15
19035,Financial Services Manager II,23403,Fiscal Director B,16
19035,Financial Services Manager II,23418,Accounting Manager C,15
19035,Financial Services Manager II,23434,Budget Director,17
19035,Financial Services Manager II,28367,Compensation Board Budget and Finance Manager,15
19035,Financial Services Manager II,83125,Water Construction Grants Division Director,15
19036,Financial Services Manager III,23106,Transportation Financial Planning and Debt Management Director,18
19036,Financial Services Manager III,23121,State Debt Management Director,18
19036,Financial Services Manager III,23131,Accounts Department Fiscal Manager,18
19036,Financial Services Manager III,23136,Assistant Comptroller,19
19036,Financial Services Manager III,23404,Controller,18
19036,Financial Services Manager III,25114,ABC Chief Financial Officer,19
19036,Financial Services Manager III,28322,Investment Officer,19
19037,Financial Services Manager IV,23115,State Deputy Treasurer,21
19037,Financial Services Manager IV,23123,Treasury Cash Management and Investments Director,21
