pay_grade,grade_type,annual_min,annual_midpoint,annual_max,hourly_min,hourly_midpoint,hourly_max,effective_date
S01,salaried,32240.00,36988.83,41737.66,,,,2025-06-10
S02,salaried,32240.00,39075.61,45911.22,,,,2025-06-10
S03,salaried,32240.00,41371.48,50502.96,,,,2025-06-10
S04,salaried,32240.00,43896.53,55553.05,,,,2025-06-10
S05,salaried,32240.00,45784.00,59328.00,,,,2025-06-10
S06,salaried,32240.00,49729.93,67219.86,,,,2025-06-10
S07,salaried,32240.00,53090.82,73941.64,,,,2025-06-10
S08,salaried,35136.00,58235.49,81334.98,,,,2025-06-10
S09,salaried,38649.00,64058.94,89468.89,,,,2025-06-10
S10,salaried,42514.00,70465.25,98416.50,,,,2025-06-10
S11,salaried,46766.00,77512.07,108258.15,,,,2025-06-10
S12,salaried,51442.00,85262.72,119083.45,,,,2025-06-10
S13,salaried,56587.00,93789.14,130991.28,,,,2025-06-10
S14,salaried,62245.00,103167.91,144090.82,,,,2025-06-10
S15,salaried,68470.00,113485.26,158500.82,,,,2025-06-10
S16,salaried,75317.00,124833.06,174349.13,,,,2025-06-10
S17,salaried,82848.00,137317.00,191786.00,,,,2025-06-10
S18,salaried,91133.00,151048.28,210963.57,,,,2025-06-10
S19,salaried,100247.00,166153.51,232060.03,,,,2025-06-10
S20,salaried,110271.00,182768.98,255266.96,,,,2025-06-10
S21,salaried,121299.00,201046.22,280793.45,,,,2025-06-10
S22,salaried,133428.00,221149.62,308871.25,,,,2025-06-10
S23,salaried,146771.00,238317.50,339759.52,,,,2025-06-10
H01,hourly,,,,15.50,17.78,20.06,2025-06-10
H02,hourly,,,,15.50,18.79,22.07,2025-06-10
H03,hourly,,,,15.50,19.89,24.28,2025-06-10
H04,hourly,,,,15.50,21.10,26.71,2025-06-10
H05,hourly,,,,15.50,22.44,29.38,2025-06-10
H06,hourly,,,,15.50,23.91,32.32,2025-06-10
H07,hourly,,,,15.50,25.01,35.55,2025-06-10
H08,hourly,,,,16.89,27.99,39.10,2025-06-10
H09,hourly,,,,18.58,30.80,43.01,2025-06-10
H10,hourly,,,,20.44,33.88,47.32,2025-06-10
H11,hourly,,,,22.48,37.26,52.05,2025-06-10
H12,hourly,,,,24.73,40.99,57.25,2025-06-10
H13,hourly,,,,27.21,45.09,62.97,2025-06-10
H14,hourly,,,,29.93,49.60,69.28,2025-06-10
H15,hourly,,,,32.92,54.56,76.20,2025-06-10
H16,hourly,,,,36.21,60.02,83.82,2025-06-10
H17,hourly,,,,39.83,66.02,92.21,2025-06-10
H18,hourly,,,,43.81,72.62,101.42,2025-06-10
H19,hourly,,,,48.20,79.88,111.57,2025-06-10
H20,hourly,,,,53.01,87.87,122.72,2025-06-10
H21,hourly,,,,58.32,96.66,134.99,2025-06-10
H22,hourly,,,,64.15,106.32,148.50,2025-06-10
H23,hourly,,,,70.56,116.95,163.35,2025-06-10
