budget_mentioned,supervises_staff,receives_supervision,supervision_count,education_level,years_experience,text_length,leadership_keywords,technical_keywords,research_keywords,healthcare_keywords,facilities_keywords,finance_keywords,is_exempt,is_salaried,compensation_grade,job_family,occ_family
0,0,1,0,1,0,5554,5,49,16,1,4,0,0,0,H02,Staff - Lab & Research Support,Natural Resources and Applied Science
0,1,0,0,0,0,2940,13,33,2,0,0,0,1,1,S13,Staff - Administrative & Office Support,Administrative Services
1,0,1,0,1,0,3827,5,40,4,0,0,22,0,1,S08,Staff - Fiscal Administration,Administrative Services
1,1,1,0,1,0,11579,15,134,6,0,0,39,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,0,0,0,2,21,2283,1,18,0,1,0,0,0,1,S08,Staff - Security - Law Enforcement Officer,Public Safety
0,0,0,0,2,21,2285,1,18,0,1,0,0,0,1,S08,Staff - Security - Law Enforcement Officer,Public Safety
0,0,0,0,2,21,2285,1,18,0,1,0,0,0,1,S08,Staff - Security - Law Enforcement Officer,Public Safety
1,0,1,30,1,0,4048,8,38,2,0,0,20,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,0,0,0,5,0,4532,10,41,15,1,0,0,1,1,S11,Staff - Scientist,Natural Resources and Applied Science
0,1,0,0,0,0,6183,31,93,3,0,23,2,1,1,S13,Staff - Building Services,Trades and Operations
0,0,1,0,1,0,3405,3,29,0,1,11,0,0,1,S01,Staff - Building Services,Trades and Operations
0,0,0,0,1,0,3274,5,25,1,0,15,0,0,1,S02,Staff - Maintenance,Trades and Operations
0,0,1,0,1,0,1713,4,18,0,0,18,0,0,1,S08,Staff - Maintenance,Trades and Operations
0,0,1,0,4,0,3346,6,49,2,1,12,1,0,1,S08,Staff - Maintenance,Trades and Operations
1,1,0,0,1,0,6252,14,56,17,6,9,2,0,1,S05,Staff - Lab & Research Support,Natural Resources and Applied Science
0,0,0,0,1,0,2191,2,30,0,0,0,0,0,0,H01,Staff - Administrative & Office Support,Administrative Services
1,0,1,0,1,0,3579,7,43,6,0,0,1,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,1,1,0,4,0,9871,30,81,1,2,1,9,1,1,S16,Staff - Student Services,Administrative Services
0,0,0,0,4,0,4092,16,43,3,0,0,1,0,1,S12,Staff - Admissions & Enrollment,Administrative Services
0,0,0,0,4,0,7017,20,40,0,4,0,2,1,1,S11,Staff - Career Services,Administrative Services
1,1,1,0,0,0,8976,28,93,5,1,1,15,1,1,S10,Staff - Public Relations,Educational and Media Services
0,1,0,0,4,0,8273,30,79,11,0,0,0,1,1,S10,Staff - Stewardship & Donor Relations,Administrative Services
0,1,0,0,0,0,8530,6,93,3,0,0,85,1,1,S10,Staff - Fiscal Administration,Administrative Services
0,0,0,0,0,0,4511,8,60,2,0,0,0,0,0,H03,Staff - Communications,Educational and Media Services
0,0,0,0,1,0,4108,4,39,4,0,0,0,0,0,H04,Staff - Administrative & Office Support,Administrative Services
0,1,0,0,1,0,5288,4,46,18,0,1,1,0,0,H02,Staff - Lab & Research Support,Natural Resources and Applied Science
0,1,1,0,0,0,7795,29,75,4,3,8,3,1,1,S10,Staff - Media & Creative Services,Educational and Media Services
0,0,0,0,3,0,3682,4,25,17,1,5,0,0,1,S05,Staff - Lab & Research Support,Natural Resources and Applied Science
0,1,0,0,1,0,4885,17,47,14,0,1,0,0,1,S07,Staff - Program Management,Administrative Services
0,0,1,0,5,0,5833,5,50,1,2,0,7,0,1,S07,Staff - Academic Program Administration,Administrative Services
0,0,1,0,1,0,4108,16,58,2,0,0,1,1,1,S08,Staff - Career Services,Administrative Services
0,0,1,0,0,0,6389,5,84,9,0,2,1,1,1,S10,Staff - Software Programming & Applications,Engineering and Technology
0,0,0,0,1,0,5461,3,69,3,0,0,0,0,1,S09,Staff - User Support,Engineering and Technology
0,0,0,0,1,0,2303,4,28,0,0,0,0,0,0,H07,Staff - User Support,Engineering and Technology
0,1,1,0,1,0,7048,18,85,10,0,0,0,1,1,S11,Staff - Librarians,Educational and Media Services
0,0,0,0,0,0,2655,2,14,0,0,0,0,0,0,H10,,Unknown
0,0,0,0,0,0,3115,0,15,3,0,0,0,0,0,H10,,Unknown
0,1,0,0,1,18,4025,7,31,0,0,2,0,0,0,H02,Staff - Academic Program Administration,Administrative Services
0,1,0,0,0,0,4007,3,36,20,0,0,0,0,0,H06,Staff - Lab & Research Support,Natural Resources and Applied Science
0,1,1,0,0,0,7914,22,100,11,0,2,2,1,1,S14,"Staff - Giving: Annual, Major Gifts, & Planned",Administrative Services
0,1,1,0,1,0,6153,37,47,2,0,0,0,1,1,S11,Staff - Program Management,Administrative Services
0,0,0,0,5,0,5061,5,47,27,0,0,0,1,1,S10,Staff - Scientist,Natural Resources and Applied Science
0,0,0,0,0,0,5046,5,54,40,0,1,0,0,0,H03,Staff - Lab & Research Support,Natural Resources and Applied Science
0,0,1,0,1,0,4021,6,45,6,1,0,0,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,0,1,0,1,0,3594,6,56,5,1,3,0,0,0,H01,Staff - Security - Non Law Enforcement Officer,Public Safety
1,0,1,0,1,0,7768,8,78,56,0,12,3,0,1,S10,Staff - Media & Creative Services,Educational and Media Services
0,1,0,0,5,0,6600,15,44,64,5,0,3,1,1,S14,Staff - Scientist,Natural Resources and Applied Science
0,1,1,0,0,0,7382,23,88,20,0,2,1,1,1,S09,Staff - HR Business Partner,Administrative Services
1,1,0,0,2,0,5547,6,70,6,0,0,22,0,1,S09,Staff - Fiscal Administration,Administrative Services
0,0,0,0,1,0,5870,9,64,4,1,0,37,0,1,S06,Staff - Administrative & Office Support,Administrative Services
1,1,1,0,1,0,13098,30,118,17,0,0,15,0,1,S06,Staff - Administrative & Office Support,Administrative Services
1,1,1,0,0,0,8300,19,101,13,0,1,52,1,1,S18,Staff - Fiscal Administration,Administrative Services
0,0,1,0,4,0,7125,26,84,10,0,1,3,1,1,S09,Staff - Alumni Affairs,Administrative Services
1,1,1,0,0,0,7198,32,91,4,1,1,7,1,1,S09,Staff - Alumni Affairs,Administrative Services
0,0,1,0,0,0,5306,13,58,0,1,0,1,1,1,S08,Staff - Career Services,Administrative Services
1,1,1,0,4,0,9816,41,128,4,1,0,4,1,1,S09,"Staff - Giving: Annual, Major Gifts, & Planned",Administrative Services
0,1,1,0,1,0,5281,20,49,3,0,1,1,1,1,S15,Staff - Community Relations,Administrative Services
0,0,1,0,0,3,5375,11,52,1,1,0,2,1,1,S08,Staff - Career Services,Administrative Services
0,1,1,0,4,3,6323,18,64,1,1,0,1,1,1,S08,Staff - Career Services,Administrative Services
0,0,1,0,0,0,4932,11,49,1,1,0,1,1,1,S08,Staff - Career Services,Administrative Services
0,1,1,0,4,0,5337,11,60,4,0,2,1,1,1,S09,Staff - Career Services,Administrative Services
0,1,0,0,0,5,7585,16,49,0,19,3,0,1,1,S09,Staff - Athletic Training & Wellbeing,Health and Human Services
0,1,1,2,0,0,11009,36,111,4,1,1,8,1,1,S10,Staff - Media & Creative Services,Educational and Media Services
1,1,1,0,1,0,8675,32,112,3,1,0,8,1,1,S09,Staff - Alumni Affairs,Administrative Services
0,0,1,0,0,0,6309,13,83,9,0,0,1,1,1,S08,Staff - Communications,Educational and Media Services
0,1,1,0,0,0,7837,44,81,2,1,0,0,1,1,S11,Staff - Administrative & Office Support,Administrative Services
0,0,1,0,0,0,2548,1,20,0,5,0,0,1,1,S07,Staff - Athletic Training & Wellbeing,Health and Human Services
0,0,0,0,1,0,3454,3,51,0,0,0,0,0,0,H07,Staff - User Support,Engineering and Technology
0,0,1,0,4,0,4378,2,36,1,9,1,0,1,1,S07,Staff - Career Services,Administrative Services
0,0,1,0,1,0,8955,16,100,8,0,0,3,0,1,S08,Staff - Communications,Educational and Media Services
1,0,0,0,1,0,10814,19,85,5,0,3,11,0,1,S05,Staff - Communications,Educational and Media Services
0,0,1,0,0,0,5583,14,62,4,1,0,3,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,0,1,0,0,0,8656,4,125,8,0,0,1,0,1,S08,Staff - Communications,Educational and Media Services
0,0,1,0,1,0,3476,1,29,0,1,12,0,0,1,S01,Staff - Building Services,Trades and Operations
0,0,1,0,0,0,5824,15,68,3,1,0,3,0,1,S06,Staff - Administrative & Office Support,Administrative Services
0,0,1,0,1,0,6762,7,103,3,0,0,1,1,1,S10,"Staff - Giving: Annual, Major Gifts, & Planned",Administrative Services
0,1,0,0,3,7,3837,15,40,4,0,0,1,1,1,S13,Staff - Stewardship & Donor Relations,Administrative Services
0,0,1,0,0,7,5873,26,67,7,0,2,1,1,1,S14,"Staff - Giving: Annual, Major Gifts, & Planned",Administrative Services
0,1,1,0,1,0,7730,22,74,0,2,0,2,1,1,S12,Staff - Career Services,Administrative Services
0,1,0,0,5,0,6398,24,74,33,2,0,0,1,1,S17,Staff - Compliance,Administrative Services
0,0,1,0,5,0,7139,6,67,25,0,2,0,1,1,S12,Staff - Librarians,Educational and Media Services
1,0,1,0,1,0,5688,26,37,3,0,0,9,0,1,S09,Staff - Program Management,Administrative Services
1,1,0,0,0,0,6919,21,66,4,1,2,3,1,1,S17,Staff - Athletics Operations,Trades and Operations
